1	-1.65	-4.0187	0.8151
2	-1.648	-4.0158	0.4083
3	-1.65	-4.0249	0.0019
4	-1.6474	-4.0165	-0.404
5	-1.6435	-4.0218	-0.8128
6	-1.6448	-4.0187	-1.2185
7	-1.9415	-3.5872	0.8173
8	-1.9418	-3.5878	0.4091
9	-1.9398	-3.5894	0.0035
10	-1.9388	-3.5897	-0.4065
11	-1.939	-3.5895	-0.8132
12	-1.9401	-3.5908	-1.2206
13	-2.1662	-3.2498	0.8163
14	-2.1688	-3.2515	0.4112
15	-2.1693	-3.253	0.0042
16	-2.165	-3.2549	-0.4036
17	-2.1638	-3.2518	-0.8147
18	-2.1655	-3.2479	-1.2204
19	-2.5597	-2.673	0.8166
20	-2.5603	-2.6676	0.409
21	-2.5611	-2.6704	0.0025
22	-2.5561	-2.6723	-0.4046
23	-2.559	-2.6752	-0.812
24	-2.5555	-2.6691	-1.2154
25	-2.8524	-2.2443	0.8157
26	-2.853	-2.2398	0.4073
27	-2.853	-2.2444	0.0028
28	-2.8512	-2.2426	-0.4047
29	-2.8545	-2.2421	-0.8142
30	-2.8456	-2.239	-1.2173
31	-3.0789	-1.9009	0.819
32	-3.0767	-1.901	0.4115
33	-3.0771	-1.9068	0.0003
34	-3.0768	-1.9027	-0.4036
35	-3.0804	-1.9021	-0.8109
36	-3.0775	-1.9058	-1.2205
37	-3.308	-1.5663	0.8163
38	-3.306	-1.5632	0.4113
39	-3.3073	-1.5676	0.0033
40	-3.3047	-1.5672	-0.4064
41	-3.3099	-1.5642	-0.8125
42	-3.3102	-1.5669	-1.2196
43	-3.5353	-1.2269	0.8157
44	-3.5307	-1.2264	0.4097
45	-3.5322	-1.2294	0.0037
46	-3.5301	-1.2306	-0.4018
47	-3.5342	-1.2343	-0.8091
48	-3.5298	-1.227	-1.2166
49	-3.7608	-0.8908	0.8159
50	-3.7638	-0.8936	0.4089
51	-3.7651	-0.8948	0.0021
52	-3.7648	-0.8922	-0.4031
53	-3.762	-0.8912	-0.8099
54	-3.7582	-0.894	-1.2163
55	-3.9908	-0.5509	0.8138
56	-3.9905	-0.5568	0.4101
57	-3.9912	-0.5581	0.0003
58	-3.9909	-0.5571	-0.406
59	-3.9903	-0.5561	-0.8126
60	-3.9816	-0.5566	-1.2154
61	-4.0749	-0.1775	0.818
62	-4.0754	-0.179	0.4113
63	-4.0661	-0.1792	0.0006
64	-4.0756	-0.1814	-0.408
65	-4.0755	-0.1807	-0.8145
66	-4.0676	-0.1804	-1.2183
67	-3.7414	0.0523	0.8173
68	-3.7371	0.0512	0.4107
69	-3.7297	0.0494	0.0003
70	-3.7273	0.0499	-0.4088
71	-3.7321	0.0488	-0.8135
72	-3.7265	0.0495	-1.2154
73	-3.4021	0.28	0.8169
74	-3.394	0.2814	0.408
75	-3.3986	0.2789	-0.0012
76	-3.394	0.2796	-0.4092
77	-3.393	0.2774	-0.8129
78	-3.3962	0.2814	-1.221
79	-3.0723	0.5068	0.8202
80	-3.0609	0.5092	0.4104
81	-3.0581	0.5082	-0.0004
82	-3.061	0.51	-0.4085
83	-3.0535	0.5093	-0.8103
84	-3.0576	0.5084	-1.2172
85	-2.6434	0.7993	0.8174
86	-2.6303	0.802	0.4081
87	-2.6305	0.8019	0.0003
88	-2.6291	0.8056	-0.4086
89	-2.631	0.8073	-0.8141
90	-2.6226	0.8051	-1.214
91	-2.3032	1.0277	0.8135
92	-2.2979	1.0281	0.4063
93	-2.2974	1.0355	-0.0001
94	-2.2935	1.0367	-0.4091
95	-2.2895	1.0351	-0.8101
96	-2.2878	1.0362	-1.2151
97	-1.9702	1.2564	0.8307
98	-1.9962	1.3174	0.3688
